Source,Target,Weight
deepseek,预测,1
deepseek,哪吒,1
deepseek,提问,1
deepseek,deepseek,1
deepseek,显示,1
deepseek,亿元,1
deepseek,快报,1
deepseek,广东,1
deepseek,爆火,1
deepseek,模型,1
deepseek,登上,1
deepseek,资料,1
deepseek,创始人,1
deepseek,品牌,1
deepseek,全称,1
deepseek,第一,1
deepseek,性价比,1
deepseek,网友,1
deepseek,openai,2
deepseek,揭秘,1
deepseek,背后,1
deepseek,罗福莉,1
deepseek,参与,1
deepseek,开发,1
deepseek,国产,1
deepseek,登顶,1
deepseek,chatgpt,1
deepseek,对此,1
deepseek,中国,1
deepseek,短短,1
deepseek,病情,1
deepseek,团队,1
deepseek,高校,1
deepseek,不到,1
deepseek,创新,1
deepseek,谋划,1
deepseek,充分利用,1
deepseek,交易,1
deepseek,正式,1
deepseek,产品,1
deepseek,国内,1
deepseek,clark,1
deepseek,雇用,1
deepseek,报道,1
deepseek,科技,1
deepseek,用人,1
deepseek,姓名,1
deepseek,员工,1
deepseek,选择,1
deepseek,专注,1
deepseek,技术,1
deepseek,工作,1
deepseek,时称,1
deepseek,大模型,1
deepseek,爆发,1
deepseek,蹦出,1
deepseek,学无止境,1
deepseek,算不算,1
deepseek,一群,1
deepseek,美股,1
deepseek,难以想象,1
deepseek,主动,1
deepseek,有人,1
deepseek,震撼,1
deepseek,shock,1
deepseek,开源,2
deepseek,关注度,1
deepseek,圈子里,1
deepseek,复现,2
deepseek,方法,1
deepseek,美国硅谷,1
deepseek,美国,1
deepseek,下跌,1
deepseek,tiktok,1
deepseek,公司,1
deepseek,刷爆,1
deepseek,原因,1
deepseek,很好,1
deepseek,冠以,1
deepseek,中国区,1
deepseek,一夕之间,1
deepseek,刺破,1
deepseek,教育,2
deepseek,一年,1
deepseek,震动,1
deepseek,冲击,1
deepseek,放假,1
deepseek,表现,1
deepseek,幼儿园,1
deepseek,答案,1
deepseek,写诗,1
deepseek,内容,1
deepseek,更胜一筹,1
deepseek,价值,1
deepseek,民主,1
deepseek,大白话,2
deepseek,文末,2
deepseek,第几,1
deepseek,华为,1
deepseek,强大,1
deepseek,陈奕,1
deepseek,发文,1
deepseek,ai,1
deepseek,充分说明,1
deepseek,生成式,1
deepseek,经历,1
deepseek,厉害,1
deepseek,人类,1
deepseek,老百姓,1
deepseek,几个,1
deepseek,幻方,1
deepseek,感觉,1
deepseek,对手,1
deepseek,太牛,1
deepseek,几天,1
deepseek,程度,1
deepseek,这时候,1
deepseek,情绪,1
deepseek,引发,1
deepseek,大幅,1
deepseek,错误,1
deepseek,优化,1
deepseek,销售额,1
deepseek,成就,1
deepseek,硅谷,1
deepseek,超车,1
deepseek,局势,1
deepseek,评到,1
deepseek,对着,1
deepseek,一通,1
deepseek,下次,1
deepseek,横空出世,1
deepseek,几日,1
deepseek,俨然,1
deepseek,期货,1
deepseek,代码,1
deepseek,刷屏,1
deepseek,儿子,1
deepseek,一道,1
deepseek,起码,1
deepseek,思考,1
deepseek,春晚,1
deepseek,对话,1
deepseek,很猛,1
deepseek,股东,1
deepseek,芯片,1
deepseek,供应链,1
deepseek,刻录,1
deepseek,边缘,1
deepseek,可为,1
deepseek,节省,1
deepseek,实时性,1
deepseek,需求,1
deepseek,平衡,1
deepseek,发展,1
deepseek,优势,3
deepseek,降低,1
deepseek,趋势,1
deepseek,研究员,1
deepseek,恐慌,1
deepseek,来头,1
deepseek,重挫,1
deepseek,一夜,1
deepseek,名为,1
deepseek,黑天鹅,1
deepseek,量化,1
deepseek,报告,1
deepseek,炒作,1
deepseek,招募,1
deepseek,时尚,1
deepseek,健哥,1
deepseek,不好意思,1
deepseek,聊天,1
deepseek,冯骥,1
deepseek,国运,1
deepseek,想要,1
deepseek,搞懂,1
deepseek,询问,1
deepseek,今晚,1
deepseek,火爆,1
deepseek,招揽,1
deepseek,算力,1
deepseek,服务,1
deepseek,带动,1
deepseek,随便,1
deepseek,点评,1
deepseek,散户,1
deepseek,众筹,1
deepseek,目的,1
deepseek,恢复,1
deepseek,注册,1
deepseek,更新,1
deepseek,此前,1
deepseek,计划,1
deepseek,现象,1
deepseek,估值,1
deepseek,低成本,1
deepseek,重构,1
deepseek,崛起,1
deepseek,方式,1
deepseek,关注,2
deepseek,制高点,1
deepseek,加剧,1
deepseek,威胁,1
deepseek,昨天,1
deepseek,半天,1
deepseek,实际上,1
deepseek,提升,2
deepseek,情节,1
deepseek,金融市场,1
deepseek,记到,1
deepseek,功劳簿,1
deepseek,错觉,1
deepseek,初次,1
deepseek,恐惧,1
deepseek,新知,1
deepseek,来晚,1
deepseek,玩意,1
deepseek,鲸鱼,1
deepseek,hyacinth,1
deepseek,simon,1
deepseek,大跌,1
deepseek,发布,1
deepseek,圆梦,1
deepseek,全球,1
deepseek,中美,1
deepseek,是非,2
deepseek,网页,1
deepseek,低算力,1
deepseek,理解,1
deepseek,适度,1
deepseek,至少,1
deepseek,意义,1
deepseek,领域,1
deepseek,不错,1
deepseek,一首,1
deepseek,分析,1
deepseek,发力,1
deepseek,创造,1
deepseek,回应,1
deepseek,超越,1
deepseek,出色,1
deepseek,回答,1
deepseek,一种,1
deepseek,数据,1
deepseek,设计,1
deepseek,体验,1
deepseek,注重,1
deepseek,关系,1
deepseek,特定,1
deepseek,创造性,1
deepseek,感兴趣,1
deepseek,科技领域,1
deepseek,暂时,1
deepseek,再下,1
deepseek,体感,1
deepseek,东西,1
deepseek,发现,1
deepseek,时而,1
deepseek,自信,1
deepseek,大疆,1
deepseek,国人,1
deepseek,尝试,1
deepseek,账号,1
deepseek,验证码,1
deepseek,不停,1
deepseek,伯格,1
deepseek,手抄,1
deepseek,满意,1
deepseek,兔年,1
deepseek,呜呜,1
deepseek,performance,1
deepseek,完整,1
deepseek,极致,1
deepseek,嫁衣,1
deepseek,活人,1
deepseek,看待,1
deepseek,美国全国广播公司,1
deepseek,大师赛,1
deepseek,了不起,1
deepseek,grpo,1
deepseek,位置,1
deepseek,四方,1
deepseek,认证,1
deepseek,本来,1
deepseek,成功,1
deepseek,出错,1
deepseek,开阔,1
deepseek,证明,1
deepseek,吹捧,1
deepseek,排行榜,1
deepseek,蓝肤,1
deepseek,营销,1
deepseek,信任,1
deepseek,发威,1
deepseek,这一,1
deepseek,善良,1
deepseek,传花,1
deepseek,关键,1
deepseek,衰退,1
deepseek,财经,2
deepseek,源于,1
deepseek,近日,1
deepseek,同步,1
deepseek,介绍,1
deepseek,训练,1
deepseek,正式版,1
deepseek,api,1
deepseek,高性价比,1
deepseek,节目,1
deepseek,研究,1
deepseek,zero,1
deepseek,distill,1
deepseek,看法,1
deepseek,给出,1
deepseek,完全免费,1
deepseek,提到,1
deepseek,相较,1
deepseek,简洁,1
deepseek,短时间,1
deepseek,很大,1
deepseek,带来,1
deepseek,上写,1
deepseek,极低,1
deepseek,帖子,1
deepseek,拥有,1
deepseek,成本,1
deepseek,后发,1
deepseek,卡卡,1
deepseek,海外,1
deepseek,北京,1
deepseek,火速,1
deepseek,站台,1
deepseek,全新,1
deepseek,新闻,1
deepseek,打破,1
deepseek,简单,1
deepseek,实测,1
deepseek,对决,1
deepseek,攀升,1
deepseek,接连,1
deepseek,结果显示,2
deepseek,旗下,1
deepseek,榜单,1
deepseek,升至,1
deepseek,试图,1
deepseek,小组,1
deepseek,难度,1
deepseek,击败,1
deepseek,挖角,1
deepseek,天才,1
deepseek,投资,1
deepseek,搞垮,1
deepseek,研发,1
deepseek,简介,2
deepseek,一家,1
deepseek,工具,1
deepseek,高性能,1
deepseek,aime,1
deepseek,十分之一,1
deepseek,复刻,2
deepseek,pipeline,1
deepseek,市场,1
deepseek,下载量,1
deepseek,股票市场,1
deepseek,强势,1
deepseek,上涨,1
deepseek,未来,1
deepseek,技术创新,1
deepseek,拓展,1
deepseek,落地,1
deepseek,文本,1
deepseek,以其,1
deepseek,卡住,1
deepseek,超话,1
deepseek,微博,1
deepseek,崩盘,1
deepseek,兴奋点,1
deepseek,文档,1
deepseek,绕过,1
deepseek,论坛,1
deepseek,上映,1
deepseek,订不上,1
deepseek,资本,1
deepseek,暴跌,1
deepseek,股票,1
deepseek,知乎,1
deepseek,ceo,1
deepseek,有用,1
deepseek,接入,1
deepseek,openrouter,3
deepseek,转换,1
deepseek,支持,1
deepseek,cursor,1
deepseek,挑战,1
deepseek,定位,1
deepseek,评抖,1
deepseek,周末,1
deepseek,打崩,1
deepseek,算法,1
deepseek,用户,1
deepseek,普遍认为,1
deepseek,一款,1
deepseek,总体,1
deepseek,文小言,1
deepseek,情况,1
deepseek,差距,1
deepseek,巧合,1
deepseek,喷子,1
deepseek,不用,1
deepseek,文案,1
deepseek,英伟达,1
deepseek,ds,1
deepseek,安排,1
deepseek,cyberagent,2
deepseek,改变,1
deepseek,收割,1
deepseek,股民,1
deepseek,破解,1
deepseek,拥抱,1
deepseek,行业,1
deepseek,最终,2
deepseek,暂不,1
deepseek,刺激,1
deepseek,小红书,1
deepseek,六代,1
deepseek,超过,1
deepseek,时刻,1
deepseek,突破,1
deepseek,app,1
deepseek,稻草,1
deepseek,老胡,1
deepseek,百个,1
deepseek,非造,1
deepseek,中事,1
deepseek,这话,1
deepseek,没少,1
deepseek,推理,2
deepseek,美国股市,1
deepseek,指出,1
deepseek,业界,1
deepseek,喜爱,1
deepseek,层面,1
deepseek,推出,1
deepseek,两款,1
deepseek,能力,3
deepseek,第三,2
deepseek,一两,1
deepseek,原生,1
deepseek,自研,1
deepseek,架构,1
deepseek,moe,1
deepseek,透露,1
deepseek,解决,1
deepseek,难题,1
deepseek,郑纬民,1
deepseek,lecun,1
deepseek,受益,1
deepseek,真的,1
deepseek,走势,1
deepseek,短期,1
deepseek,带走,1
deepseek,结论,1
deepseek,医学中心,1
deepseek,沟通,1
deepseek,专业,1
deepseek,正文,1
deepseek,理科,1
deepseek,scale,1
deepseek,传出,1
deepseek,万块,1
deepseek,嘲笑,1
deepseek,美区,1
deepseek,五万,1
deepseek,百亿,1
deepseek,一点点,1
deepseek,功劳,1
deepseek,算是,1
deepseek,颠覆,1
deepseek,不急,1
deepseek,打击,1
deepseek,给我发,1
deepseek,有代餐,1
deepseek,取代,1
deepseek,发微博,1
deepseek,磁吸,1
deepseek,合作,1
deepseek,刀下留情,1
deepseek,重估,1
deepseek,试用,1
deepseek,速度,1
deepseek,奥数,2
deepseek,成立,2
deepseek,資金,1
deepseek,创立,1
deepseek,李白,1
deepseek,阉割,1
deepseek,黑市,1
deepseek,公开,1
deepseek,想象,1
deepseek,发生,1
deepseek,细节,1
deepseek,年薪,1
deepseek,深度求索,1
deepseek,千金,1
deepseek,网站,1
deepseek,拿出,1
deepseek,世界,1
deepseek,巨变,1
deepseek,安飞诺,1
deepseek,提供,3
deepseek,效益,1
deepseek,劣势,1
deepseek,照抄,1
deepseek,工程师,1
deepseek,推动,1
deepseek,加速,1
deepseek,宣传,1
deepseek,兄弟,1
deepseek,确实,1
deepseek,一帮,1
deepseek,有没有,1
deepseek,地道,1
deepseek,力度,1
deepseek,日军,1
deepseek,一篇,1
deepseek,南北极,1
deepseek,两天,1
deepseek,刚刚,1
deepseek,无法回答,1
deepseek,昨日,1
deepseek,短时,1
deepseek,创业,1
deepseek,厂商,1
deepseek,更少,1
deepseek,质疑,1
deepseek,刷牙,1
deepseek,上午,2
deepseek,晚上,1
deepseek,画图,1
deepseek,搭配,1
deepseek,perplexityceo,1
deepseek,当年,1
deepseek,数学,2
deepseek,推理模型,1
deepseek,中文,1
deepseek,影响,1
deepseek,gpt,1
deepseek,堆砌,1
deepseek,好像,1
deepseek,一己,1
deepseek,谦虚,1
deepseek,一个月,1
deepseek,简称,2
deepseek,人士,1
deepseek,接班,1
deepseek,老师,2
deepseek,下载,1
deepseek,助手,1
deepseek,惊讶,1
deepseek,复制,1
deepseek,数量,1
deepseek,之外,1
deepseek,cnbc,1
deepseek,竞争,1
deepseek,春联,1
deepseek,华尔街,1
deepseek,杭州,1
deepseek,告诉,1
deepseek,创新者,1
deepseek,核心,1
deepseek,内部,1
deepseek,基准,1
deepseek,跌幅,1
deepseek,一盘,1
deepseek,月底,1
deepseek,同行,1
deepseek,上周,1
deepseek,持平,1
deepseek,惊艳,1
deepseek,背景,1
deepseek,高效,1
deepseek,成本低,1
deepseek,发觉,1
deepseek,热点,1
deepseek,概念,1
deepseek,新高,1
deepseek,暴击,1
deepseek,评价,1
deepseek,明天,1
deepseek,蒸馏,2
deepseek,效果,1
deepseek,玩意儿,1
deepseek,帝国,1
deepseek,放过,1
deepseek,只能,1
deepseek,战术,1
deepseek,军备竞赛,1
deepseek,meta,1
deepseek,紧急,1
deepseek,共享,1
deepseek,股市,1
deepseek,google,1
deepseek,区别,1
deepseek,围绕,1
deepseek,意见,1
deepseek,震惊,1
deepseek,文章,1
deepseek,仿照,1
deepseek,动手,1
deepseek,倚马可待,1
deepseek,版本,1
deepseek,有趣,1
deepseek,包括,1
deepseek,强化,1
deepseek,itbear,1
deepseek,登场,1
deepseek,研发部,1
deepseek,值得,1
deepseek,太狠,1
deepseek,新篇章,1
deepseek,绝尘,1
deepseek,打造,1
deepseek,大有可为,1
deepseek,实力,1
deepseek,之路,1
deepseek,淡定,2
deepseek,胡锡,1
